CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TP_ATIVO;PR_PL_ATIVO
34.508.205/0001-02;OPP A MARKET FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Operações  compromissadas  lastreadas  em  títulos públicos federais;0.11
34.508.205/0001-02;OPP A MARKET FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Títulos públicos federais;54.34
34.525.068/0001-06;SUL AMÉRICA SELECTION FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;2023-11-30;Ações;95.70
34.525.068/0001-06;SUL AMÉRICA SELECTION FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;3.55
34.546.359/0001-80;BAHIA AM MARAÚ R FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Cotas de fundos de investimento 409;1.21
34.546.359/0001-80;BAHIA AM MARAÚ R FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Derivativos;-66.29
34.546.359/0001-80;BAHIA AM MARAÚ R FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Investimento no exterior;15.64
34.546.359/0001-80;BAHIA AM MARAÚ R FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;21.99
34.546.359/0001-80;BAHIA AM MARAÚ R FEEDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Títulos públicos federais;61.87
34.580.935/0001-06;JOURNEY CAPITAL ENDURANCE DEBENTURES INCENTIVADAS JUROS REAIS ADV FIC DE FI INCENTIVADO INV INFRA RF;2023-11-30;Cotas de fundos de investimento 409;100.05
34.580.935/0001-06;JOURNEY CAPITAL ENDURANCE DEBENTURES INCENTIVADAS JUROS REAIS ADV FIC DE FI INCENTIVADO INV INFRA RF;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;0.01
34.580.935/0001-06;JOURNEY CAPITAL ENDURANCE DEBENTURES INCENTIVADAS JUROS REAIS ADV FIC DE FI INCENTIVADO INV INFRA RF;2023-11-30;Outras aplicações;0.00
34.581.309/0001-34;AZ QUEST ALTRO ACCESS FI EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO;2023-11-30;Cotas de fundos de investimento 409;99.95
34.581.309/0001-34;AZ QUEST ALTRO ACCESS FI EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO;2023-11-30;Outras aplicações;0.05
34.606.424/0001-16;BB RENDA FIXA LONGO PRAZO ESTRATÉGIA ATIVA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Derivativos;2.00
34.606.424/0001-16;BB RENDA FIXA LONGO PRAZO ESTRATÉGIA ATIVA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Operações Compromissadas lastreadas em títulos públicos Federais;48.00
34.606.424/0001-16;BB RENDA FIXA LONGO PRAZO ESTRATÉGIA ATIVA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Outras Aplicações;0.00
34.606.424/0001-16;BB RENDA FIXA LONGO PRAZO ESTRATÉGIA ATIVA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Títulos Publicos Federais;50.00
34.616.836/0001-37;BB ESPELHO MULTIMERCADO KAPITALO KAPPA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Cotas de Fundos de Investimento 555;97.00
34.616.836/0001-37;BB ESPELHO MULTIMERCADO KAPITALO KAPPA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Operações Compromissadas lastreadas em títulos públicos Federais;1.00
34.616.836/0001-37;BB ESPELHO MULTIMERCADO KAPITALO KAPPA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Outras Aplicações;1.00
34.616.836/0001-37;BB ESPELHO MULTIMERCADO KAPITALO KAPPA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Títulos Publicos Federais;1.00
34.616.859/0001-41;BB ESPELHO MULTIMERCADO KAPITALO KAPPA PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FI;2023-11-30;Cotas de Fundos de Investimento 555;97.00
34.616.859/0001-41;BB ESPELHO MULTIMERCADO KAPITALO KAPPA PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FI;2023-11-30;Operações Compromissadas lastreadas em títulos públicos Federais;1.00
34.616.859/0001-41;BB ESPELHO MULTIMERCADO KAPITALO KAPPA PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FI;2023-11-30;Outras Aplicações;2.00
34.616.859/0001-41;BB ESPELHO MULTIMERCADO KAPITALO KAPPA PRIVATE FUNDO DE INVESTIMENTO EM COTAS DE FI;2023-11-30;Títulos Publicos Federais;1.00
34.617.291/0001-83;INTER SELECTION MACRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Cotas de Fundos de Investimento 555;97.46
34.617.291/0001-83;INTER SELECTION MACRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Operações Compromissadas Lastreadas em Títulos Públicos Federais;3.21
34.617.343/0001-11;OCEANA VALOR II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;2023-11-30;Ações;95.42
34.617.343/0001-11;OCEANA VALOR II FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;3.71
34.617.361/0001-01;OCEANA VALOR II MASTER FUNDO DE INVESTIMENTO EM AÇÕES;2023-11-30;Ações;94.65
34.617.361/0001-01;OCEANA VALOR II MASTER FUNDO DE INVESTIMENTO EM AÇÕES;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;3.68
34.617.387/0001-41;PACIFICO MULTIMANAGER BBDC FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Ações;8.32
34.617.387/0001-41;PACIFICO MULTIMANAGER BBDC FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Derivativos;175.74
34.617.387/0001-41;PACIFICO MULTIMANAGER BBDC FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Investimento no exterior;5.84
34.617.387/0001-41;PACIFICO MULTIMANAGER BBDC FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;51.43
34.617.387/0001-41;PACIFICO MULTIMANAGER BBDC FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Títulos públicos federais;42.72
34.626.178/0001-64;ENTERCAPITAL TURING FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Ações;32.76
34.626.178/0001-64;ENTERCAPITAL TURING FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Cotas de fundos de investimento 409;6.57
34.626.178/0001-64;ENTERCAPITAL TURING FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Derivativos;933.74
34.626.178/0001-64;ENTERCAPITAL TURING FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;26.93
34.626.178/0001-64;ENTERCAPITAL TURING FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Títulos públicos federais;56.23
34.626.199/0001-80;ENTERCAPITAL TURING FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Ações;27.01
34.626.199/0001-80;ENTERCAPITAL TURING FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Cotas de fundos de investimento 409;18.80
34.626.199/0001-80;ENTERCAPITAL TURING FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Derivativos;867.18
34.626.199/0001-80;ENTERCAPITAL TURING FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;23.67
34.626.199/0001-80;ENTERCAPITAL TURING FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Títulos públicos federais;49.71
34.633.357/0001-29;BRAM FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO MULTI-ÍNDICES II;2023-11-30;Depósitos a prazo e outros títulos de instituições financeiras;19.83
34.633.357/0001-29;BRAM FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO MULTI-ÍNDICES II;2023-11-30;Derivativos;26.26
34.633.357/0001-29;BRAM FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO MULTI-ÍNDICES II;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;26.43
34.633.357/0001-29;BRAM FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO MULTI-ÍNDICES II;2023-11-30;Títulos de crédito privado;1.25
34.633.357/0001-29;BRAM FUNDO DE INVESTIMENTO RENDA FIXA LONGO PRAZO MULTI-ÍNDICES II;2023-11-30;Títulos públicos federais;53.03
34.644.124/0001-21;DAYCOVAL MULTIESTRATÉGIA PLUS FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Ações;6.47
34.644.124/0001-21;DAYCOVAL MULTIESTRATÉGIA PLUS FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Derivativos;0.22
34.644.124/0001-21;DAYCOVAL MULTIESTRATÉGIA PLUS FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Operações Compromissadas Lastreadas em Títulos Públicos Federais;22.49
34.644.124/0001-21;DAYCOVAL MULTIESTRATÉGIA PLUS FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Outras Aplicações;-0.63
34.644.124/0001-21;DAYCOVAL MULTIESTRATÉGIA PLUS FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Títulos Públicos Federais;76.25
34.658.702/0001-89;SANTA FÉ SCORPIUS FUNDO DE INVESTIMENTO EM AÇÕES;2023-11-30;Ações;91.92
34.658.702/0001-89;SANTA FÉ SCORPIUS FUNDO DE INVESTIMENTO EM AÇÕES;2023-11-30;Cotas de fundos de investimento 409;3.25
34.658.702/0001-89;SANTA FÉ SCORPIUS FUNDO DE INVESTIMENTO EM AÇÕES;2023-11-30;Derivativos;0.27
34.658.702/0001-89;SANTA FÉ SCORPIUS FUNDO DE INVESTIMENTO EM AÇÕES;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;0.96
34.658.753/0001-00;DAYCOVAL FUNDO DE INVESTIMENTO EM AÇÕES BDR NÍVEL I;2023-11-30;Operações Compromissadas Lastreadas em Títulos Públicos Federais;0.94
34.658.753/0001-00;DAYCOVAL FUNDO DE INVESTIMENTO EM AÇÕES BDR NÍVEL I;2023-11-30;Outras Aplicações;71.54
34.658.753/0001-00;DAYCOVAL FUNDO DE INVESTIMENTO EM AÇÕES BDR NÍVEL I;2023-11-30;Outras Cotas de Fundos de Investimento;10.03
34.658.789/0001-94;DAYCOVAL TITULOS PUBLICOS I FIRF;2023-11-30;Operações Compromissadas Lastreadas em Títulos Públicos Federais;40.46
34.658.789/0001-94;DAYCOVAL TITULOS PUBLICOS I FIRF;2023-11-30;Outras Aplicações;0.00
34.658.789/0001-94;DAYCOVAL TITULOS PUBLICOS I FIRF;2023-11-30;Títulos Públicos Federais;59.64
34.658.859/0001-04;DAYCOVAL TITULOS PUBLICOS II FIRF;2023-11-30;Operações Compromissadas Lastreadas em Títulos Públicos Federais;43.21
34.658.859/0001-04;DAYCOVAL TITULOS PUBLICOS II FIRF;2023-11-30;Outras Aplicações;0.00
34.658.859/0001-04;DAYCOVAL TITULOS PUBLICOS II FIRF;2023-11-30;Títulos Públicos Federais;56.90
34.659.901/0001-01;NAVI INSTITUCIONAL II FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM AÇÕES;2023-11-30;Ações;85.87
34.659.901/0001-01;NAVI INSTITUCIONAL II FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM AÇÕES;2023-11-30;Derivativos;5.98
34.659.901/0001-01;NAVI INSTITUCIONAL II FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM AÇÕES;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;11.65
34.660.200/0001-92;FUNDO DE INVESTIMENTO CAIXA MASTER ESTRATÉGIA LIVRE MULTIMERCADO LONGO PRAZO;2023-11-30;Cotas de fundos de Investimento 555;4.13
34.660.200/0001-92;FUNDO DE INVESTIMENTO CAIXA MASTER ESTRATÉGIA LIVRE MULTIMERCADO LONGO PRAZO;2023-11-30;Derivativos;32.04
34.660.200/0001-92;FUNDO DE INVESTIMENTO CAIXA MASTER ESTRATÉGIA LIVRE MULTIMERCADO LONGO PRAZO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;21.63
34.660.200/0001-92;FUNDO DE INVESTIMENTO CAIXA MASTER ESTRATÉGIA LIVRE MULTIMERCADO LONGO PRAZO;2023-11-30;Outras aplicações;-0.03
34.660.200/0001-92;FUNDO DE INVESTIMENTO CAIXA MASTER ESTRATÉGIA LIVRE MULTIMERCADO LONGO PRAZO;2023-11-30;Títulos públicos federais;74.73
34.660.276/0001-18;FUNDO DE INVEST EM COTAS DE FUNDO DE INVEST CAIXA BRASIL ESTRATÉGIA LIVRE MULTIMERCADO LONGO PRAZO;2023-11-30;Cotas de fundos de investimento 555;97.68
34.660.276/0001-18;FUNDO DE INVEST EM COTAS DE FUNDO DE INVEST CAIXA BRASIL ESTRATÉGIA LIVRE MULTIMERCADO LONGO PRAZO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;0.00
34.660.276/0001-18;FUNDO DE INVEST EM COTAS DE FUNDO DE INVEST CAIXA BRASIL ESTRATÉGIA LIVRE MULTIMERCADO LONGO PRAZO;2023-11-30;Títulos públicos federais;1.19
34.660.333/0001-69;FUNDO DE INVEST EM COTAS DE FUNDOS DE INVEST CAIXA ESTRATÉGIA LIVRE MULTIMERCADO LONGO PRAZO;2023-11-30;Cotas de fundos de investimento 555;98.73
34.660.333/0001-69;FUNDO DE INVEST EM COTAS DE FUNDOS DE INVEST CAIXA ESTRATÉGIA LIVRE MULTIMERCADO LONGO PRAZO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;1.28
34.660.333/0001-69;FUNDO DE INVEST EM COTAS DE FUNDOS DE INVEST CAIXA ESTRATÉGIA LIVRE MULTIMERCADO LONGO PRAZO;2023-11-30;Títulos públicos federais;1.25
34.666.775/0001-12;SAFRA CAPITAL MARKET INFRA VIP RF FIC DE FUNDOS INCENTIVADOS DE INVESTIMENTO EM INFRAESTRUTURA;2023-11-30;Cotas de fundos de investimento 409;100.00
34.666.840/0001-00;SAFRA CAPITAL MARKET INFRA PREMIUM RF FIC DE FUNDOS INCENTIVADOS DE INVESTIMENTO EM INFRAESTRUTURA;2023-11-30;Cotas de fundos de investimento 409;100.00
34.687.399/0001-42;VINLAND RENDA FIXA ATIVO MASTER LONGO PRAZO FUNDO DE INVESTIMENTO;2023-11-30;Cotas de fundos de investimento 409;2.98
34.687.399/0001-42;VINLAND RENDA FIXA ATIVO MASTER LONGO PRAZO FUNDO DE INVESTIMENTO;2023-11-30;Depósitos a prazo e outros títulos de instituições financeiras;20.38
34.687.399/0001-42;VINLAND RENDA FIXA ATIVO MASTER LONGO PRAZO FUNDO DE INVESTIMENTO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;0.64
34.687.399/0001-42;VINLAND RENDA FIXA ATIVO MASTER LONGO PRAZO FUNDO DE INVESTIMENTO;2023-11-30;Outras aplicações;5.86
34.687.399/0001-42;VINLAND RENDA FIXA ATIVO MASTER LONGO PRAZO FUNDO DE INVESTIMENTO;2023-11-30;Títulos públicos federais;70.11
34.687.428/0001-76;VINLAND RENDA FIXA ATIVO LONGO PRAZO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Cotas de fundos de investimento 409;3.00
34.687.428/0001-76;VINLAND RENDA FIXA ATIVO LONGO PRAZO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Depósitos a prazo e outros títulos de instituições financeiras;20.53
34.687.428/0001-76;VINLAND RENDA FIXA ATIVO LONGO PRAZO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;0.64
34.687.428/0001-76;VINLAND RENDA FIXA ATIVO LONGO PRAZO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Outras aplicações;5.91
34.687.428/0001-76;VINLAND RENDA FIXA ATIVO LONGO PRAZO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-11-30;Títulos públicos federais;70.61
34.687.441/0001-25;VINLAND RENDA FIXA ATIVO ADVISORY LONGO PRAZO FUNDO DE INVESTIMENTO EM COTAS DE FI;2023-11-30;Cotas de fundos de investimento 409;3.00
34.687.441/0001-25;VINLAND RENDA FIXA ATIVO ADVISORY LONGO PRAZO FUNDO DE INVESTIMENTO EM COTAS DE FI;2023-11-30;Depósitos a prazo e outros títulos de instituições financeiras;20.54
34.687.441/0001-25;VINLAND RENDA FIXA ATIVO ADVISORY LONGO PRAZO FUNDO DE INVESTIMENTO EM COTAS DE FI;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;0.64
34.687.441/0001-25;VINLAND RENDA FIXA ATIVO ADVISORY LONGO PRAZO FUNDO DE INVESTIMENTO EM COTAS DE FI;2023-11-30;Outras aplicações;5.91
34.687.441/0001-25;VINLAND RENDA FIXA ATIVO ADVISORY LONGO PRAZO FUNDO DE INVESTIMENTO EM COTAS DE FI;2023-11-30;Títulos públicos federais;70.64
34.687.549/0001-18;ACE CAPITAL MASTER FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Ações;5.18
34.687.549/0001-18;ACE CAPITAL MASTER FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Investimento no exterior;11.38
34.687.549/0001-18;ACE CAPITAL MASTER FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Títulos de crédito privado;0.69
34.687.549/0001-18;ACE CAPITAL MASTER FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Títulos públicos federais;115.29
34.687.633/0001-31;KINEA APOLO FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Cotas de fundos de investimento 409;3.04
34.687.633/0001-31;KINEA APOLO FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;24.35
34.687.633/0001-31;KINEA APOLO FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Títulos de crédito privado;9.91
34.687.633/0001-31;KINEA APOLO FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Títulos públicos federais;71.52
34.687.662/0001-01;KINEA APOLO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Cotas de fundos de investimento 409;9.21
34.687.662/0001-01;KINEA APOLO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;21.21
34.687.662/0001-01;KINEA APOLO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Títulos de crédito privado;5.45
34.687.662/0001-01;KINEA APOLO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Títulos públicos federais;65.96
34.691.579/0001-06;TUCHE ONE FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2023-11-30;Acões;22.94
34.691.579/0001-06;TUCHE ONE FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2023-11-30;Cotas de Fundos de Investimento 555;0.00
34.691.579/0001-06;TUCHE ONE FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2023-11-30;Depósito a prazo e outros títulos de instituições financeiras;20.42
34.691.579/0001-06;TUCHE ONE FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2023-11-30;Operacões compromissadas lastreadas em títulos privados;0.00
34.691.579/0001-06;TUCHE ONE FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2023-11-30;Títulos Públicos federais;56.64
34.701.977/0001-58;BRAIN DAHLIA TOTAL RETURN FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Ações;70.92
34.701.977/0001-58;BRAIN DAHLIA TOTAL RETURN FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Cotas de fundos de investimento;4.46
34.701.977/0001-58;BRAIN DAHLIA TOTAL RETURN FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Investimento no exterior;13.95
34.701.977/0001-58;BRAIN DAHLIA TOTAL RETURN FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Títulos de crédito privado;0.58
34.701.977/0001-58;BRAIN DAHLIA TOTAL RETURN FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Títulos públicos federais;12.12
34.706.691/0001-65;JOURNEY CAPITAL ENDURANCE JUROS REAIS MASTER FUNDO INCENTIVADO  DE INVESTIMENTO EM INFRA RENDA FIXA;2023-11-30;Derivativos;0.01
34.706.691/0001-65;JOURNEY CAPITAL ENDURANCE JUROS REAIS MASTER FUNDO INCENTIVADO  DE INVESTIMENTO EM INFRA RENDA FIXA;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;5.55
34.706.691/0001-65;JOURNEY CAPITAL ENDURANCE JUROS REAIS MASTER FUNDO INCENTIVADO  DE INVESTIMENTO EM INFRA RENDA FIXA;2023-11-30;Outras aplicações;0.00
34.706.691/0001-65;JOURNEY CAPITAL ENDURANCE JUROS REAIS MASTER FUNDO INCENTIVADO  DE INVESTIMENTO EM INFRA RENDA FIXA;2023-11-30;Títulos de crédito privado;90.66
34.706.691/0001-65;JOURNEY CAPITAL ENDURANCE JUROS REAIS MASTER FUNDO INCENTIVADO  DE INVESTIMENTO EM INFRA RENDA FIXA;2023-11-30;Títulos públicos federais;3.77
34.713.026/0001-07;TARPON INTERSECTION FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM AÇÕES;2023-11-30;Ações;46.30
34.713.026/0001-07;TARPON INTERSECTION FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM AÇÕES;2023-11-30;Cotas de Fundos de Investimento 409;39.47
34.713.026/0001-07;TARPON INTERSECTION FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM AÇÕES;2023-11-30;Derivativos;0.54
34.713.026/0001-07;TARPON INTERSECTION FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM AÇÕES;2023-11-30;Outras Cotas de Fundos de Investimento;18.24
34.713.026/0001-07;TARPON INTERSECTION FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM AÇÕES;2023-11-30;Títulos Públicos Federais;1.75
34.719.487/0001-89;VINCI AUGURI MASTER FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Ações;89.04
34.719.487/0001-89;VINCI AUGURI MASTER FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Derivativos;0.00
34.719.487/0001-89;VINCI AUGURI MASTER FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;0.95
34.719.487/0001-89;VINCI AUGURI MASTER FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Outras aplicações;0.15
34.719.487/0001-89;VINCI AUGURI MASTER FUNDO DE INVESTIMENTO MULTIMERCADO;2023-11-30;Títulos públicos federais;10.09
34.774.642/0001-60;ACE CAPITAL ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Ações;4.28
34.774.642/0001-60;ACE CAPITAL ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Investimento no exterior;9.41
34.774.642/0001-60;ACE CAPITAL ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Títulos de crédito privado;0.57
34.774.642/0001-60;ACE CAPITAL ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Títulos públicos federais;95.30
34.774.662/0001-30;ACE CAPITAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Ações;4.28
34.774.662/0001-30;ACE CAPITAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Investimento no exterior;9.40
34.774.662/0001-30;ACE CAPITAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Títulos de crédito privado;0.57
34.774.662/0001-30;ACE CAPITAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;2023-11-30;Títulos públicos federais;95.23
34.790.765/0001-94;NAVI CRUISE MÉTODO FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM AÇÕES;2023-11-30;Ações;83.13
34.790.765/0001-94;NAVI CRUISE MÉTODO FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM AÇÕES;2023-11-30;Derivativos;2.51
34.790.765/0001-94;NAVI CRUISE MÉTODO FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM AÇÕES;2023-11-30;Investimento no exterior;5.37
34.790.765/0001-94;NAVI CRUISE MÉTODO FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM AÇÕES;2023-11-30;Operações compromissadas lastreadas em títulos públicos federais;12.37
34.790.765/0001-94;NAVI CRUISE MÉTODO FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM AÇÕES;2023-11-30;Títulos públicos federais;0.02
34.791.108/0001-61;AZ QUEST SMALL MID CAPS INSTITUCIONAL FIC FIA;2023-11-30;Ações;98.86
